Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
48,Bournemouth,ENG,10,10,3,4,3,10,22,-12,13,1.3,5.9,16.4,-10.4,-1.04,10389,Philip Billing - 3,Neto
49,Lyon,FRA,10,11,4,2,5,19,15,4,14,1.27,17.1,13.6,3.5,0.32,37990,Alexandre Lacazette - 6,Anthony Lopes
50,Rayo Vallecano,ESP,10,9,3,2,4,10,12,-2,11,1.22,8.7,12.2,-3.5,-0.39,11942,Isaac Palazón Camacho - 2,Stole Dimitrievski
51,Sassuolo,ITA,9,10,3,3,4,12,12,0,12,1.2,13.4,12.8,0.7,0.07,7193,Davide Frattesi - 3,Andrea Consigli
52,Fulham,ENG,11,10,3,3,4,16,20,-4,12,1.2,11.4,19.9,-8.5,-0.85,17828,Aleksandar Mitrovi? - 7,Bernd Leno
53,Crystal Palace,ENG,13,9,2,4,3,10,12,-2,10,1.11,9.7,13.6,-3.9,-0.43,24516,Wilfried Zaha - 4,Vicente Guaita
54,Celta Vigo,ESP,11,9,3,1,5,10,16,-6,10,1.11,8.2,11.9,-3.7,-0.41,14299,Iago Aspas - 6,Agustín Marchesín
55,West Ham,ENG,12,10,3,2,5,9,11,-2,11,1.1,12.1,9.6,2.4,0.24,62439,Gianluca Scamacca Jarrod Bowen... - 2,?ukasz Fabia?ski
56,Empoli,ITA,10,10,2,5,3,9,11,-2,11,1.1,9.8,14.5,-4.7,-0.47,4448,Filippo Bandinelli - 2,Guglielmo Vicario
57,Torino,ITA,11,10,3,2,5,8,12,-4,11,1.1,12.8,12.4,0.4,0.04,10088,Nikola Vlaši? - 3,Vanja Milinkovi?-Savi?
58,Montpellier,FRA,11,11,4,0,7,21,22,-1,12,1.09,12.9,17.7,-4.8,-0.43,9698,Sepe Elye Wahi - 5,Jonas Omlin
59,Troyes,FRA,12,11,3,3,5,19,22,-3,12,1.09,15.1,17.5,-2.5,-0.22,6167,Mama Samba Baldé - 5,Gauthier Gallon
60,Nice,FRA,13,11,3,3,5,10,14,-4,12,1.09,13.4,10.6,2.8,0.25,19759,Andy Delort - 5,Kasper Schmeichel
61,Leeds United,ENG,15,9,2,3,4,11,13,-2,9,1,12.8,11.2,1.6,0.18,36468,Rodrigo - 4,Illan Meslier
62,Mallorca,ESP,12,9,2,3,4,7,10,-3,9,1,8.6,9.1,-0.5,-0.06,15012,Vedat Muriqi - 4,Predrag Rajkovi?
63,Everton,ENG,14,10,2,4,4,8,11,-3,10,1,10.4,17,-6.5,-0.65,39264,Anthony Gordon - 2,Jordan Pickford
64,Espanyol,ESP,13,9,2,3,4,12,16,-4,9,1,10,11.6,-1.5,-0.17,19904,Joselu - 7,Benjamin Lecomte
65,Fiorentina,ITA,14,9,2,3,4,7,11,-4,9,1,13,10.7,2.3,0.26,27103,Giacomo Bonaventura Luka Jovi?... - 1,Pietro Terracciano
66,Salernitana,ITA,12,10,2,4,4,12,16,-4,10,1,10.6,17.1,-6.5,-0.65,16557,Boulaye Dia - 4,Luigi Sepe
67,Sevilla,ESP,14,9,2,3,4,9,14,-5,9,1,9.8,16.6,-6.8,-0.75,37120,Óliver Torres - 3,Yassine Bounou
68,Monza,ITA,13,10,3,1,6,9,15,-6,10,1,10.4,15.4,-5.1,-0.51,9108,Stefano Sensi - 2,Michele Di Gregorio
